----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|      Название книги     |       Издательство      |   Количество страниц   | Вид литературы |       Отрасль      | Отечественная | Переводная | Год издания | Роман | Пьеса | Стихи | Сказки | Детские стихи |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                   Name_0|       Publishing house_0|                     933|   Техническая  |     Web-development|      Да       |     Нет    |         1858|   -   |   -   |   -   |   -    |       -       |
|                   Name_1|       Publishing house_1|                     752|   Техническая  |         Programming|      Да       |     Да     |         1961|   -   |   -   |   -   |   -    |       -       |
|                   Name_2|       Publishing house_2|                     843|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                   Name_3|       Publishing house_3|                     330|   Техническая  |                Math|      Нет      |     Да     |         1807|   -   |   -   |   -   |   -    |       -       |
|                   Name_4|       Publishing house_4|                     972|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Нет  |       Да      |
|                   Name_5|       Publishing house_5|                     549|   Техническая  |            Calculus|      Да       |     Да     |         1807|   -   |   -   |   -   |   -    |       -       |
|                   Name_6|       Publishing house_6|                     190|   Техническая  |            Geometry|      Нет      |     Нет    |         1950|   -   |   -   |   -   |   -    |       -       |
|                   Name_7|       Publishing house_7|                     862|     Детская    |          -         |       -       |      -     |      -      |   -   |   -   |   -   |   Да   |       Да      |
|                   Name_8|       Publishing house_8|                     710|   Техническая  |            Calculus|      Да       |     Да     |         1947|   -   |   -   |   -   |   -    |       -       |
|                   Name_9|       Publishing house_9|                     675|   Техническая  |     Web-development|      Нет      |     Нет    |         1985|   -   |   -   |   -   |   -    |       -       |
|                  Name_10|      Publishing house_10|                     629|   Техническая  |             Testing|      Нет      |     Да     |         1964|   -   |   -   |   -   |   -    |       -       |
|                  Name_11|      Publishing house_11|                     104| Художественная |          -         |       -       |      -     |      -      |   Да  |  Нет  |  Нет  |   -    |       -       |
